verb,ich_prsens,du_prsens,er_prsens,wir_prsens,ihr_prsens,sie_prsens,ich_prteritum,du_prteritum,er_prteritum,wir_prteritum,ihr_prteritum,sie_prteritum,ich_perfekt,du_perfekt,er_perfekt,wir_perfekt,ihr_perfekt,sie_perfekt,ich_plusquamperfekt,du_plusquamperfekt,er_plusquamperfekt,wir_plusquamperfekt,ihr_plusquamperfekt,sie_plusquamperfekt,ich_futuri,du_futuri,er_futuri,wir_futuri,ihr_futuri,sie_futuri,ich_futurii,du_futurii,er_futurii,wir_futurii,ihr_futurii,sie_futurii,ich_konjunktivi,du_konjunktivi,er_konjunktivi,wir_konjunktivi,ihr_konjunktivi,sie_konjunktivi,ich_konjunktivii,du_konjunktivii,er_konjunktivii,wir_konjunktivii,ihr_konjunktivii,sie_konjunktivii,ich_konjunktiv_perfekt,du_konjunktiv_perfekt,er_konjunktiv_perfekt,wir_konjunktiv_perfekt,ihr_konjunktiv_perfekt,sie_konjunktiv_perfekt,ich_konjunktiv_plusquamperfekt,du_konjunktiv_plusquamperfekt,er_konjunktiv_plusquamperfekt,wir_konjunktiv_plusquamperfekt,ihr_konjunktiv_plusquamperfekt,sie_konjunktiv_plusquamperfekt,ich_konjunktiv_futur1,du_konjunktiv_futur1,er_konjunktiv_futur1,wir_konjunktiv_futur1,ihr_konjunktiv_futur1,sie_konjunktiv_futur1,ich_konjunktiv_futur2,du_konjunktiv_futur2,er_konjunktiv_futur2,wir_konjunktiv_futur2,ihr_konjunktiv_futur2,sie_konjunktiv_futur2,infinitiv1_form1,infinitiv1_form2,infinitiv2_form1,infinitiv2_form2,partizip1,partizip2,imperativ_du,imperativ_wir,imperativ_ihr,imperativ_sie
überwachen,überwache,überwachst,überwacht,überwachen,überwacht,überwachen,überwachte,überwachtest,überwachte,überwachten,überwachtet,überwachten,habe überwacht,hast überwacht,hat überwacht,haben überwacht,habt überwacht,haben überwacht,hatte überwacht,hattest überwacht,hatte überwacht,hatten überwacht,hattet überwacht,hatten überwacht,werde überwachen,wirst überwachen,wird überwachen,werden überwachen,werdet überwachen,werden überwachen,werde überwacht haben,wirst überwacht haben,wird überwacht haben,werden überwacht haben,werdet überwacht haben,werden überwacht haben,überwache,überwachest,überwache,überwachen,überwachet,überwachen,überwachte,überwachtest,überwachte,überwachten,überwachtet,überwachten,habe überwacht,habest überwacht,habe überwacht,haben überwacht,habet überwacht,haben überwacht,hätte überwacht,hättest überwacht,hätte überwacht,hätten überwacht,hättet überwacht,hätten überwacht,werde überwachen,werdest überwachen,werde überwachen,werden überwachen,werdet überwachen,werden überwachen,werde überwacht haben,werdest überwacht haben,werde überwacht haben,werden überwacht haben,werdet überwacht haben,werden überwacht haben,überwachen,zu überwachen,überwacht haben,überwacht zu haben,überwachend,überwacht,überwache du,überwachen wir,überwacht ihr,überwachen Sie
rauchen,rauche,rauchst,raucht,rauchen,raucht,rauchen,rauchte,rauchtest,rauchte,rauchten,rauchtet,rauchten,habe geraucht,hast geraucht,hat geraucht,haben geraucht,habt geraucht,haben geraucht,hatte geraucht,hattest geraucht,hatte geraucht,hatten geraucht,hattet geraucht,hatten geraucht,werde rauchen,wirst rauchen,wird rauchen,werden rauchen,werdet rauchen,werden rauchen,werde geraucht haben,wirst geraucht haben,wird geraucht haben,werden geraucht haben,werdet geraucht haben,werden geraucht haben,rauche,rauchest,rauche,rauchen,rauchet,rauchen,rauchte,rauchtest,rauchte,rauchten,rauchtet,rauchten,habe geraucht,habest geraucht,habe geraucht,haben geraucht,habet geraucht,haben geraucht,hätte geraucht,hättest geraucht,hätte geraucht,hätten geraucht,hättet geraucht,hätten geraucht,werde rauchen,werdest rauchen,werde rauchen,werden rauchen,werdet rauchen,werden rauchen,werde geraucht haben,werdest geraucht haben,werde geraucht haben,werden geraucht haben,werdet geraucht haben,werden geraucht haben,rauchen,zu rauchen,geraucht haben,geraucht zu haben,rauchend,geraucht,rauche du,rauchen wir,raucht ihr,rauchen Sie
bezeichnen,bezeichne,bezeichnest,bezeichnet,bezeichnen,bezeichnet,bezeichnen,bezeichnete,bezeichnetest,bezeichnete,bezeichneten,bezeichnetet,bezeichneten,habe bezeichnet,hast bezeichnet,hat bezeichnet,haben bezeichnet,habt bezeichnet,haben bezeichnet,hatte bezeichnet,hattest bezeichnet,hatte bezeichnet,hatten bezeichnet,hattet bezeichnet,hatten bezeichnet,werde bezeichnen,wirst bezeichnen,wird bezeichnen,werden bezeichnen,werdet bezeichnen,werden bezeichnen,werde bezeichnet haben,wirst bezeichnet haben,wird bezeichnet haben,werden bezeichnet haben,werdet bezeichnet haben,werden bezeichnet haben,bezeichne,bezeichnest,bezeichne,bezeichnen,bezeichnet,bezeichnen,bezeichnete,bezeichnetest,bezeichnete,bezeichneten,bezeichnetet,bezeichneten,habe bezeichnet,habest bezeichnet,habe bezeichnet,haben bezeichnet,habet bezeichnet,haben bezeichnet,hätte bezeichnet,hättest bezeichnet,hätte bezeichnet,hätten bezeichnet,hättet bezeichnet,hätten bezeichnet,werde bezeichnen,werdest bezeichnen,werde bezeichnen,werden bezeichnen,werdet bezeichnen,werden bezeichnen,werde bezeichnet haben,werdest bezeichnet haben,werde bezeichnet haben,werden bezeichnet haben,werdet bezeichnet haben,werden bezeichnet haben,bezeichnen,zu bezeichnen,bezeichnet haben,bezeichnet zu haben,bezeichnend,bezeichnet,bezeichne du,bezeichnen wir,bezeichnet ihr,bezeichnen Sie
genehmigen,genehmige,genehmigst,genehmigt,genehmigen,genehmigt,genehmigen,genehmigte,genehmigtest,genehmigte,genehmigten,genehmigtet,genehmigten,habe genehmigt,hast genehmigt,hat genehmigt,haben genehmigt,habt genehmigt,haben genehmigt,hatte genehmigt,hattest genehmigt,hatte genehmigt,hatten genehmigt,hattet genehmigt,hatten genehmigt,werde genehmigen,wirst genehmigen,wird genehmigen,werden genehmigen,werdet genehmigen,werden genehmigen,werde genehmigt haben,wirst genehmigt haben,wird genehmigt haben,werden genehmigt haben,werdet genehmigt haben,werden genehmigt haben,genehmige,genehmigest,genehmige,genehmigen,genehmiget,genehmigen,genehmigte,genehmigtest,genehmigte,genehmigten,genehmigtet,genehmigten,habe genehmigt,habest genehmigt,habe genehmigt,haben genehmigt,habet genehmigt,haben genehmigt,hätte genehmigt,hättest genehmigt,hätte genehmigt,hätten genehmigt,hättet genehmigt,hätten genehmigt,werde genehmigen,werdest genehmigen,werde genehmigen,werden genehmigen,werdet genehmigen,werden genehmigen,werde genehmigt haben,werdest genehmigt haben,werde genehmigt haben,werden genehmigt haben,werdet genehmigt haben,werden genehmigt haben,genehmigen,zu genehmigen,genehmigt haben,genehmigt zu haben,genehmigend,genehmigt,genehmige du,genehmigen wir,genehmigt ihr,genehmigen Sie
umsteigen,steige um,steigst um,steigt um,steigen um,steigt um,steigen um,stieg um,stiegst um,stieg um,stiegen um,stiegt um,stiegen um,bin umgestiegen,bist umgestiegen,ist umgestiegen,sind umgestiegen,seid umgestiegen,sind umgestiegen,war umgestiegen,warst umgestiegen,war umgestiegen,waren umgestiegen,wart umgestiegen,waren umgestiegen,werde umsteigen,wirst umsteigen,wird umsteigen,werden umsteigen,werdet umsteigen,werden umsteigen,werde umgestiegen sein,wirst umgestiegen sein,wird umgestiegen sein,werden umgestiegen sein,werdet umgestiegen sein,werden umgestiegen sein,steige um,steigest um,steige um,steigen um,steiget um,steigen um,stiege um,stiegest um,stiege um,stiegen um,stieget um,stiegen um,sei umgestiegen,seiest umgestiegen,sei umgestiegen,seien umgestiegen,seiet umgestiegen,seien umgestiegen,wäre umgestiegen,wärest umgestiegen,wäre umgestiegen,wären umgestiegen,wäret umgestiegen,wären umgestiegen,werde umsteigen,werdest umsteigen,werde umsteigen,werden umsteigen,werdet umsteigen,werden umsteigen,werde umgestiegen sein,werdest umgestiegen sein,werde umgestiegen sein,werden umgestiegen sein,werdet umgestiegen sein,werden umgestiegen sein,umsteigen,umzusteigen,umgestiegen sein,umgestiegen zu sein,umsteigend,umgestiegen,steige du um,steigen wir um,steigt ihr um,steigen Sie um
beweisen,beweise,beweist,beweist,beweisen,beweist,beweisen,bewies,bewiesest,bewies,bewiesen,bewieset,bewiesen,habe bewiesen,hast bewiesen,hat bewiesen,haben bewiesen,habt bewiesen,haben bewiesen,hatte bewiesen,hattest bewiesen,hatte bewiesen,hatten bewiesen,hattet bewiesen,hatten bewiesen,werde beweisen,wirst beweisen,wird beweisen,werden beweisen,werdet beweisen,werden beweisen,werde bewiesen haben,wirst bewiesen haben,wird bewiesen haben,werden bewiesen haben,werdet bewiesen haben,werden bewiesen haben,beweise,beweisest,beweise,beweisen,beweiset,beweisen,bewiese,bewiesest,bewiese,bewiesen,bewieset,bewiesen,habe bewiesen,habest bewiesen,habe bewiesen,haben bewiesen,habet bewiesen,haben bewiesen,hätte bewiesen,hättest bewiesen,hätte bewiesen,hätten bewiesen,hättet bewiesen,hätten bewiesen,werde beweisen,werdest beweisen,werde beweisen,werden beweisen,werdet beweisen,werden beweisen,werde bewiesen haben,werdest bewiesen haben,werde bewiesen haben,werden bewiesen haben,werdet bewiesen haben,werden bewiesen haben,beweisen,zu beweisen,bewiesen haben,bewiesen zu haben,beweisend,bewiesen,beweise du,beweisen wir,beweist ihr,beweisen Sie
pflanzen,pflanze,pflanzt,pflanzt,pflanzen,pflanzt,pflanzen,pflanzte,pflanztest,pflanzte,pflanzten,pflanztet,pflanzten,habe gepflanzt,hast gepflanzt,hat gepflanzt,haben gepflanzt,habt gepflanzt,haben gepflanzt,hatte gepflanzt,hattest gepflanzt,hatte gepflanzt,hatten gepflanzt,hattet gepflanzt,hatten gepflanzt,werde pflanzen,wirst pflanzen,wird pflanzen,werden pflanzen,werdet pflanzen,werden pflanzen,werde gepflanzt haben,wirst gepflanzt haben,wird gepflanzt haben,werden gepflanzt haben,werdet gepflanzt haben,werden gepflanzt haben,pflanze,pflanzest,pflanze,pflanzen,pflanzet,pflanzen,pflanzte,pflanztest,pflanzte,pflanzten,pflanztet,pflanzten,habe gepflanzt,habest gepflanzt,habe gepflanzt,haben gepflanzt,habet gepflanzt,haben gepflanzt,hätte gepflanzt,hättest gepflanzt,hätte gepflanzt,hätten gepflanzt,hättet gepflanzt,hätten gepflanzt,werde pflanzen,werdest pflanzen,werde pflanzen,werden pflanzen,werdet pflanzen,werden pflanzen,werde gepflanzt haben,werdest gepflanzt haben,werde gepflanzt haben,werden gepflanzt haben,werdet gepflanzt haben,werden gepflanzt haben,pflanzen,zu pflanzen,gepflanzt haben,gepflanzt zu haben,pflanzend,gepflanzt,pflanze du,pflanzen wir,pflanzt ihr,pflanzen Sie
achten,achte,achtest,achtet,achten,achtet,achten,achtete,achtetest,achtete,achteten,achtetet,achteten,habe geachtet,hast geachtet,hat geachtet,haben geachtet,habt geachtet,haben geachtet,hatte geachtet,hattest geachtet,hatte geachtet,hatten geachtet,hattet geachtet,hatten geachtet,werde achten,wirst achten,wird achten,werden achten,werdet achten,werden achten,werde geachtet haben,wirst geachtet haben,wird geachtet haben,werden geachtet haben,werdet geachtet haben,werden geachtet haben,achte,achtest,achte,achten,achtet,achten,achtete,achtetest,achtete,achteten,achtetet,achteten,habe geachtet,habest geachtet,habe geachtet,haben geachtet,habet geachtet,haben geachtet,hätte geachtet,hättest geachtet,hätte geachtet,hätten geachtet,hättet geachtet,hätten geachtet,werde achten,werdest achten,werde achten,werden achten,werdet achten,werden achten,werde geachtet haben,werdest geachtet haben,werde geachtet haben,werden geachtet haben,werdet geachtet haben,werden geachtet haben,achten,zu achten,geachtet haben,geachtet zu haben,achtend,geachtet,achte du,achten wir,achtet ihr,achten Sie
ausbauen,baue aus,baust aus,baut aus,bauen aus,baut aus,bauen aus,baute aus,bautest aus,baute aus,bauten aus,bautet aus,bauten aus,habe ausgebaut,hast ausgebaut,hat ausgebaut,haben ausgebaut,habt ausgebaut,haben ausgebaut,hatte ausgebaut,hattest ausgebaut,hatte ausgebaut,hatten ausgebaut,hattet ausgebaut,hatten ausgebaut,werde ausbauen,wirst ausbauen,wird ausbauen,werden ausbauen,werdet ausbauen,werden ausbauen,werde ausgebaut haben,wirst ausgebaut haben,wird ausgebaut haben,werden ausgebaut haben,werdet ausgebaut haben,werden ausgebaut haben,baue aus,bauest aus,baue aus,bauen aus,bauet aus,bauen aus,baute aus,bautest aus,baute aus,bauten aus,bautet aus,bauten aus,habe ausgebaut,habest ausgebaut,habe ausgebaut,haben ausgebaut,habet ausgebaut,haben ausgebaut,hätte ausgebaut,hättest ausgebaut,hätte ausgebaut,hätten ausgebaut,hättet ausgebaut,hätten ausgebaut,werde ausbauen,werdest ausbauen,werde ausbauen,werden ausbauen,werdet ausbauen,werden ausbauen,werde ausgebaut haben,werdest ausgebaut haben,werde ausgebaut haben,werden ausgebaut haben,werdet ausgebaut haben,werden ausgebaut haben,ausbauen,auszubauen,ausgebaut haben,ausgebaut zu haben,ausbauend,ausgebaut,baue du aus,bauen wir aus,baut ihr aus,bauen Sie aus
spazieren,spaziere,spazierst,spaziert,spazieren,spaziert,spazieren,spazierte,spaziertest,spazierte,spazierten,spaziertet,spazierten,bin spaziert,bist spaziert,ist spaziert,sind spaziert,seid spaziert,sind spaziert,war spaziert,warst spaziert,war spaziert,waren spaziert,wart spaziert,waren spaziert,werde spazieren,wirst spazieren,wird spazieren,werden spazieren,werdet spazieren,werden spazieren,werde spaziert sein,wirst spaziert sein,wird spaziert sein,werden spaziert sein,werdet spaziert sein,werden spaziert sein,spaziere,spazierest,spaziere,spazieren,spazieret,spazieren,spazierte,spaziertest,spazierte,spazierten,spaziertet,spazierten,sei spaziert,seiest spaziert,sei spaziert,seien spaziert,seiet spaziert,seien spaziert,wäre spaziert,wärest spaziert,wäre spaziert,wären spaziert,wäret spaziert,wären spaziert,werde spazieren,werdest spazieren,werde spazieren,werden spazieren,werdet spazieren,werden spazieren,werde spaziert sein,werdest spaziert sein,werde spaziert sein,werden spaziert sein,werdet spaziert sein,werden spaziert sein,spazieren,zu spazieren,spaziert sein,spaziert zu sein,spazierend,spaziert,spaziere du,spazieren wir,spaziert ihr,spazieren Sie
rosten,roste,rostest,rostet,rosten,rostet,rosten,rostete,rostetest,rostete,rosteten,rostetet,rosteten,habe gerostet,hast gerostet,hat gerostet,haben gerostet,habt gerostet,haben gerostet,hatte gerostet,hattest gerostet,hatte gerostet,hatten gerostet,hattet gerostet,hatten gerostet,werde rosten,wirst rosten,wird rosten,werden rosten,werdet rosten,werden rosten,werde gerostet haben,wirst gerostet haben,wird gerostet haben,werden gerostet haben,werdet gerostet haben,werden gerostet haben,roste,rostest,roste,rosten,rostet,rosten,rostete,rostetest,rostete,rosteten,rostetet,rosteten,habe gerostet,habest gerostet,habe gerostet,haben gerostet,habet gerostet,haben gerostet,hätte gerostet,hättest gerostet,hätte gerostet,hätten gerostet,hättet gerostet,hätten gerostet,werde rosten,werdest rosten,werde rosten,werden rosten,werdet rosten,werden rosten,werde gerostet haben,werdest gerostet haben,werde gerostet haben,werden gerostet haben,werdet gerostet haben,werden gerostet haben,rosten,zu rosten,gerostet haben,gerostet zu haben,rostend,gerostet,roste du,rosten wir,rostet ihr,rosten Sie
aufschließen,schließe auf,schließt auf,schließt auf,schließen auf,schließt auf,schließen auf,schloss auf,schlossest auf,schloss auf,schlossen auf,schlosset auf,schlossen auf,habe aufgeschlossen,hast aufgeschlossen,hat aufgeschlossen,haben aufgeschlossen,habt aufgeschlossen,haben aufgeschlossen,hatte aufgeschlossen,hattest aufgeschlossen,hatte aufgeschlossen,hatten aufgeschlossen,hattet aufgeschlossen,hatten aufgeschlossen,werde aufschließen,wirst aufschließen,wird aufschließen,werden aufschließen,werdet aufschließen,werden aufschließen,werde aufgeschlossen haben,wirst aufgeschlossen haben,wird aufgeschlossen haben,werden aufgeschlossen haben,werdet aufgeschlossen haben,werden aufgeschlossen haben,schließe auf,schließest auf,schließe auf,schließen auf,schließet auf,schließen auf,schlösse auf,schlössest auf,schlösse auf,schlössen auf,schlösset auf,schlössen auf,habe aufgeschlossen,habest aufgeschlossen,habe aufgeschlossen,haben aufgeschlossen,habet aufgeschlossen,haben aufgeschlossen,hätte aufgeschlossen,hättest aufgeschlossen,hätte aufgeschlossen,hätten aufgeschlossen,hättet aufgeschlossen,hätten aufgeschlossen,werde aufschließen,werdest aufschließen,werde aufschließen,werden aufschließen,werdet aufschließen,werden aufschließen,werde aufgeschlossen haben,werdest aufgeschlossen haben,werde aufgeschlossen haben,werden aufgeschlossen haben,werdet aufgeschlossen haben,werden aufgeschlossen haben,aufschließen,aufzuschließen,aufgeschlossen haben,aufgeschlossen zu haben,aufschließend,aufgeschlossen,schließe du auf,schließen wir auf,schließt ihr auf,schließen Sie auf
bemerken,bemerke,bemerkst,bemerkt,bemerken,bemerkt,bemerken,bemerkte,bemerktest,bemerkte,bemerkten,bemerktet,bemerkten,habe bemerkt,hast bemerkt,hat bemerkt,haben bemerkt,habt bemerkt,haben bemerkt,hatte bemerkt,hattest bemerkt,hatte bemerkt,hatten bemerkt,hattet bemerkt,hatten bemerkt,werde bemerken,wirst bemerken,wird bemerken,werden bemerken,werdet bemerken,werden bemerken,werde bemerkt haben,wirst bemerkt haben,wird bemerkt haben,werden bemerkt haben,werdet bemerkt haben,werden bemerkt haben,bemerke,bemerkest,bemerke,bemerken,bemerket,bemerken,bemerkte,bemerktest,bemerkte,bemerkten,bemerktet,bemerkten,habe bemerkt,habest bemerkt,habe bemerkt,haben bemerkt,habet bemerkt,haben bemerkt,hätte bemerkt,hättest bemerkt,hätte bemerkt,hätten bemerkt,hättet bemerkt,hätten bemerkt,werde bemerken,werdest bemerken,werde bemerken,werden bemerken,werdet bemerken,werden bemerken,werde bemerkt haben,werdest bemerkt haben,werde bemerkt haben,werden bemerkt haben,werdet bemerkt haben,werden bemerkt haben,bemerken,zu bemerken,bemerkt haben,bemerkt zu haben,bemerkend,bemerkt,bemerke du,bemerken wir,bemerkt ihr,bemerken Sie
schockieren,schockiere,schockierst,schockiert,schockieren,schockiert,schockieren,schockierte,schockiertest,schockierte,schockierten,schockiertet,schockierten,habe schockiert,hast schockiert,hat schockiert,haben schockiert,habt schockiert,haben schockiert,hatte schockiert,hattest schockiert,hatte schockiert,hatten schockiert,hattet schockiert,hatten schockiert,werde schockieren,wirst schockieren,wird schockieren,werden schockieren,werdet schockieren,werden schockieren,werde schockiert haben,wirst schockiert haben,wird schockiert haben,werden schockiert haben,werdet schockiert haben,werden schockiert haben,schockiere,schockierest,schockiere,schockieren,schockieret,schockieren,schockierte,schockiertest,schockierte,schockierten,schockiertet,schockierten,habe schockiert,habest schockiert,habe schockiert,haben schockiert,habet schockiert,haben schockiert,hätte schockiert,hättest schockiert,hätte schockiert,hätten schockiert,hättet schockiert,hätten schockiert,werde schockieren,werdest schockieren,werde schockieren,werden schockieren,werdet schockieren,werden schockieren,werde schockiert haben,werdest schockiert haben,werde schockiert haben,werden schockiert haben,werdet schockiert haben,werden schockiert haben,schockieren,zu schockieren,schockiert haben,schockiert zu haben,schockierend,schockiert,schockiere du,schockieren wir,schockiert ihr,schockieren Sie
bewirken,bewirke,bewirkst,bewirkt,bewirken,bewirkt,bewirken,bewirkte,bewirktest,bewirkte,bewirkten,bewirktet,bewirkten,habe bewirkt,hast bewirkt,hat bewirkt,haben bewirkt,habt bewirkt,haben bewirkt,hatte bewirkt,hattest bewirkt,hatte bewirkt,hatten bewirkt,hattet bewirkt,hatten bewirkt,werde bewirken,wirst bewirken,wird bewirken,werden bewirken,werdet bewirken,werden bewirken,werde bewirkt haben,wirst bewirkt haben,wird bewirkt haben,werden bewirkt haben,werdet bewirkt haben,werden bewirkt haben,bewirke,bewirkest,bewirke,bewirken,bewirket,bewirken,bewirkte,bewirktest,bewirkte,bewirkten,bewirktet,bewirkten,habe bewirkt,habest bewirkt,habe bewirkt,haben bewirkt,habet bewirkt,haben bewirkt,hätte bewirkt,hättest bewirkt,hätte bewirkt,hätten bewirkt,hättet bewirkt,hätten bewirkt,werde bewirken,werdest bewirken,werde bewirken,werden bewirken,werdet bewirken,werden bewirken,werde bewirkt haben,werdest bewirkt haben,werde bewirkt haben,werden bewirkt haben,werdet bewirkt haben,werden bewirkt haben,bewirken,zu bewirken,bewirkt haben,bewirkt zu haben,bewirkend,bewirkt,,bewirken Sie,,
ausschalten,schalte aus,schaltest aus,schaltet aus,schalten aus,schaltet aus,schalten aus,schaltete aus,schaltetest aus,schaltete aus,schalteten aus,schaltetet aus,schalteten aus,habe ausgeschaltet,hast ausgeschaltet,hat ausgeschaltet,haben ausgeschaltet,habt ausgeschaltet,haben ausgeschaltet,hatte ausgeschaltet,hattest ausgeschaltet,hatte ausgeschaltet,hatten ausgeschaltet,hattet ausgeschaltet,hatten ausgeschaltet,werde ausschalten,wirst ausschalten,wird ausschalten,werden ausschalten,werdet ausschalten,werden ausschalten,werde ausgeschaltet haben,wirst ausgeschaltet haben,wird ausgeschaltet haben,werden ausgeschaltet haben,werdet ausgeschaltet haben,werden ausgeschaltet haben,schalte aus,schaltest aus,schalte aus,schalten aus,schaltet aus,schalten aus,schaltete aus,schaltetest aus,schaltete aus,schalteten aus,schaltetet aus,schalteten aus,habe ausgeschaltet,habest ausgeschaltet,habe ausgeschaltet,haben ausgeschaltet,habet ausgeschaltet,haben ausgeschaltet,hätte ausgeschaltet,hättest ausgeschaltet,hätte ausgeschaltet,hätten ausgeschaltet,hättet ausgeschaltet,hätten ausgeschaltet,werde ausschalten,werdest ausschalten,werde ausschalten,werden ausschalten,werdet ausschalten,werden ausschalten,werde ausgeschaltet haben,werdest ausgeschaltet haben,werde ausgeschaltet haben,werden ausgeschaltet haben,werdet ausgeschaltet haben,werden ausgeschaltet haben,ausschalten,auszuschalten,ausgeschaltet haben,ausgeschaltet zu haben,ausschaltend,ausgeschaltet,schalte du aus,schalten wir aus,schaltet ihr aus,schalten Sie aus
hingehen,gehe hin,gehst hin,geht hin,gehen hin,geht hin,gehen hin,ging hin,gingst hin,ging hin,gingen hin,gingt hin,gingen hin,bin hingegangen,bist hingegangen,ist hingegangen,sind hingegangen,seid hingegangen,sind hingegangen,war hingegangen,warst hingegangen,war hingegangen,waren hingegangen,wart hingegangen,waren hingegangen,werde hingehen,wirst hingehen,wird hingehen,werden hingehen,werdet hingehen,werden hingehen,werde hingegangen sein,wirst hingegangen sein,wird hingegangen sein,werden hingegangen sein,werdet hingegangen sein,werden hingegangen sein,gehe hin,gehest hin,gehe hin,gehen hin,gehet hin,gehen hin,ginge hin,gingest hin,ginge hin,gingen hin,ginget hin,gingen hin,sei hingegangen,seiest hingegangen,sei hingegangen,seien hingegangen,seiet hingegangen,seien hingegangen,wäre hingegangen,wärest hingegangen,wäre hingegangen,wären hingegangen,wäret hingegangen,wären hingegangen,werde hingehen,werdest hingehen,werde hingehen,werden hingehen,werdet hingehen,werden hingehen,werde hingegangen sein,werdest hingegangen sein,werde hingegangen sein,werden hingegangen sein,werdet hingegangen sein,werden hingegangen sein,hingehen,hinzugehen,hingegangen sein,hingegangen zu sein,hingehend,hingegangen,gehe du hin,gehen wir hin,geht ihr hin,gehen Sie hin
fluchen,fluche,fluchst,flucht,fluchen,flucht,fluchen,fluchte,fluchtest,fluchte,fluchten,fluchtet,fluchten,habe geflucht,hast geflucht,hat geflucht,haben geflucht,habt geflucht,haben geflucht,hatte geflucht,hattest geflucht,hatte geflucht,hatten geflucht,hattet geflucht,hatten geflucht,werde fluchen,wirst fluchen,wird fluchen,werden fluchen,werdet fluchen,werden fluchen,werde geflucht haben,wirst geflucht haben,wird geflucht haben,werden geflucht haben,werdet geflucht haben,werden geflucht haben,fluche,fluchest,fluche,fluchen,fluchet,fluchen,fluchte,fluchtest,fluchte,fluchten,fluchtet,fluchten,habe geflucht,habest geflucht,habe geflucht,haben geflucht,habet geflucht,haben geflucht,hätte geflucht,hättest geflucht,hätte geflucht,hätten geflucht,hättet geflucht,hätten geflucht,werde fluchen,werdest fluchen,werde fluchen,werden fluchen,werdet fluchen,werden fluchen,werde geflucht haben,werdest geflucht haben,werde geflucht haben,werden geflucht haben,werdet geflucht haben,werden geflucht haben,fluchen,zu fluchen,geflucht haben,geflucht zu haben,fluchend,geflucht,fluche du,fluchen wir,flucht ihr,fluchen Sie
verlassen,verlasse,verlässt,verlässt,verlassen,verlasst,verlassen,verließ,verließest,verließ,verließen,verließet,verließen,habe verlassen,hast verlassen,hat verlassen,haben verlassen,habt verlassen,haben verlassen,hatte verlassen,hattest verlassen,hatte verlassen,hatten verlassen,hattet verlassen,hatten verlassen,werde verlassen,wirst verlassen,wird verlassen,werden verlassen,werdet verlassen,werden verlassen,werde verlassen haben,wirst verlassen haben,wird verlassen haben,werden verlassen haben,werdet verlassen haben,werden verlassen haben,verlasse,verlassest,verlasse,verlassen,verlasset,verlassen,verließe,verließest,verließe,verließen,verließet,verließen,habe verlassen,habest verlassen,habe verlassen,haben verlassen,habet verlassen,haben verlassen,hätte verlassen,hättest verlassen,hätte verlassen,hätten verlassen,hättet verlassen,hätten verlassen,werde verlassen,werdest verlassen,werde verlassen,werden verlassen,werdet verlassen,werden verlassen,werde verlassen haben,werdest verlassen haben,werde verlassen haben,werden verlassen haben,werdet verlassen haben,werden verlassen haben,verlassen,zu verlassen,verlassen haben,verlassen zu haben,verlassend,verlassen,verlasse du,verlassen wir,verlasst ihr,verlassen Sie
drücken,drücke,drückst,drückt,drücken,drückt,drücken,drückte,drücktest,drückte,drückten,drücktet,drückten,habe gedrückt,hast gedrückt,hat gedrückt,haben gedrückt,habt gedrückt,haben gedrückt,hatte gedrückt,hattest gedrückt,hatte gedrückt,hatten gedrückt,hattet gedrückt,hatten gedrückt,werde drücken,wirst drücken,wird drücken,werden drücken,werdet drücken,werden drücken,werde gedrückt haben,wirst gedrückt haben,wird gedrückt haben,werden gedrückt haben,werdet gedrückt haben,werden gedrückt haben,drücke,drückest,drücke,drücken,drücket,drücken,drückte,drücktest,drückte,drückten,drücktet,drückten,habe gedrückt,habest gedrückt,habe gedrückt,haben gedrückt,habet gedrückt,haben gedrückt,hätte gedrückt,hättest gedrückt,hätte gedrückt,hätten gedrückt,hättet gedrückt,hätten gedrückt,werde drücken,werdest drücken,werde drücken,werden drücken,werdet drücken,werden drücken,werde gedrückt haben,werdest gedrückt haben,werde gedrückt haben,werden gedrückt haben,werdet gedrückt haben,werden gedrückt haben,drücken,zu drücken,gedrückt haben,gedrückt zu haben,drückend,gedrückt,drücke du,drücken wir,drückt ihr,drücken Sie
schweben,schwebe,schwebst,schwebt,schweben,schwebt,schweben,schwebte,schwebtest,schwebte,schwebten,schwebtet,schwebten,habe geschwebt,hast geschwebt,hat geschwebt,haben geschwebt,habt geschwebt,haben geschwebt,hatte geschwebt,hattest geschwebt,hatte geschwebt,hatten geschwebt,hattet geschwebt,hatten geschwebt,werde schweben,wirst schweben,wird schweben,werden schweben,werdet schweben,werden schweben,werde geschwebt haben,wirst geschwebt haben,wird geschwebt haben,werden geschwebt haben,werdet geschwebt haben,werden geschwebt haben,schwebe,schwebest,schwebe,schweben,schwebet,schweben,schwebte,schwebtest,schwebte,schwebten,schwebtet,schwebten,habe geschwebt,habest geschwebt,habe geschwebt,haben geschwebt,habet geschwebt,haben geschwebt,hätte geschwebt,hättest geschwebt,hätte geschwebt,hätten geschwebt,hättet geschwebt,hätten geschwebt,werde schweben,werdest schweben,werde schweben,werden schweben,werdet schweben,werden schweben,werde geschwebt haben,werdest geschwebt haben,werde geschwebt haben,werden geschwebt haben,werdet geschwebt haben,werden geschwebt haben,schweben,zu schweben,geschwebt haben,geschwebt zu haben,schwebend,geschwebt,schwebe du,schweben wir,schwebt ihr,schweben Sie
